idiom,def
cross your fingers,to hope that something happens the way you want it to
cry over spilt milk,when you complain about a loss from the past
cry wolf,intentionally raise a false alarm
cup of joe,a cup of coffee
curiosity killed the cat,being inquisitive can lead you into a dangerous situation
cut to the chase,leave out all the unnecessary details and just get to the point
dark horse,one who was previously unknown and is now prominent
dead ringer,100 identical a duplicate
devils advocate,someone who takes a position for the sake of argument without believing in that particular side of the arguement it can also mean one who presents a counter argument for a position they do believe in to another debater
dog days of summer,the hottest days of the summer season
dont count your chickens before they hatch,dont rely on it until your sure of it
dont look a gift horse in the mouth,when someone gives you a gift dont be ungrateful
dont put all your eggs in one basket,do not put all your resources in one possibility
down to the wire,something that ends at the last minute
down to the wire,something that ends at the last few seconds
down to the wire,something that ends at the last moment
drastic times call for drastic measures,when you are extremely desperate you need to take extremely desperate actions
drink like a fish,to drink very heavily
drive someone up the wall,to irritate and annoy very much
drive someone up the wall,to annoy very much
drive someone up the wall,to irritate very much
dropping like flies,a large number of people either falling dying
dropping like flies,a large number of people either falling ill
eighty six,a certain item is no longer available
eighty six,to throw away
elvis has left the building,the show has come to an end its all over
ethnic cleansing,killing of a certain ethnic group on a massive scale
ethnic cleansing,killing of a certain religious group on a massive scale
every cloud has a silver lining,be optomistic even difficult times will lead to better days
everything but the kitchen sink,almost everything and anything has been included
excuse my french,please forgive me for cussing
cock and bull story,an unbelievable tale
feeding frenzy,an aggressive attack on someone by a group
field day,an enjoyable day
field day,an enjoyable circumstance
finding your feet,to become more comfortable in whatever you are doing
finger lickin good,a very tasty food
finger lickin good,a very tasty meal
fixed in your ways,not wanting to change from your normal way of doing something
fixed in your ways,not willing to change from your normal way of doing something
flash in the pan,something that shows potential in the beginning but fails to deliver anything in the end
flash in the pan,something that shows looks promising in the beginning but fails to deliver anything in the end
flea market,a swap meet a place where people gather to buy and sell inexpensive goods
flesh and blood,living material of which people are made of
flip the bird,to raise your middle finger at someone
foam at the mouth,to be enraged and show it
fools gold,iron pyrites a worthless rock that resembles real gold
french kiss,an open mouth kiss where tongues touch
from rags to riches,to go from being very poor to being very wealthy
full monty,the whole thing
full monty,completely nude
funny farm,a mental institutional facility
get down to brass tacks,to become serious about something
get over it,to move beyond something that is bothering you
get up on the wrong side of the bed,someone who is having a horrible day
get your walking papers,get fired from a job
give him the slip,to get away from to escape
go down like a lead balloon,to be received badly by an audience
go for broke,to gamble everything you have
go out on a limb,put yourself in a tough position in order to support someone
go out on a limb,put yourself in a tough position in order to support something
go the extra mile,going above and beyond whatever is required for the task at hand
good samaritan,someone who helps others when they are in need with no discussion for compensation and no thought of a reward
graveyard shift,working hours from about 12 am to 8 am the time of the day when most other people are sleeping
great minds think alike,intelligent people think like each other
green room,the waiting room especially for those who are about to go on a tv
green room,the waiting room especially for those who are about to go on a radio show
gut feeling,a personal intuition you get especially when feel something may not be right
haste makes waste,quickly doing things results in a poor ending
hat trick,when one player scores three goals in the same game
he lost his head,angry and overcome by emotions
head over heels,very excited and joyful especially when in love
head over heels,very joyful especially when in love
head over heels,very excited especially when in love
hell in a handbasket,deteriorating and headed for complete disaster
high five,slapping palms above each others heads as celebration gesture
high on the hog,living in luxury
hit the books,to study especially for a test
hit the books,to study especially for a exam
hit the hay,go to sleep
hit the hay,go to bed
hit the nail on the head,say something exactly right
hit the nail on the head,do something exactly right
hit the sack,go to bed
hit the sack,go to sleep
hocus pocus,in general a term used in trickery
hocus pocus,in general a term used in magic
hold your horses,be patient
icing on the cake,when you already have it good and get something on top of what you already have
idle hands are the devils tools,you are more likely to get in trouble if you have nothing to do
if its not one thing its another,when one thing goes wrong then another and another
in like flynn,to be easily successful especially when romantic
in like flynn,to be easily successful especially when sexual
in the bag,to have something secured
in the heat of the moment,overwhelmed by what is happening in the moment
in your face,an aggressive and bold confrontation
it takes two to tango,a two person conflict where both people are at fault
its a small world,you frequently see the same people in different places
its anyones call,a competition where the outcome is difficult to predict
its anyones call,a competition where the outcome is difficult to judge
joshing me,tricking me
keep an eye on him,you should carefully watch him
keep body and soul together,to earn a sufficient amount of money in order to keep yourself alive
keep your chin up,to remain joyful in a tough situation
knee jerk reaction,a quick and automatic response
knock on wood,knuckle tapping on wood in order to avoid some bad luck
know the ropes,to understand the details
last but not least,an introduction phrase to let the audience know that the last person mentioned is no less important than those introduced before him
last but not least,an introduction phrase to let the audience know that the last person mentioned is no less important than those introduced before her
lend me your ear,to politely ask for someones full attention
let bygones be bygones,to forget about a disagreement
let bygones be bygones,to forget about a arguement
let sleeping dogs lie,to avoid restarting a conflict
let the cat out of the bag,to share a secret that wasnt suppose to be shared
level playing field,a fair competition where no side has an advantage
like a chicken with its head cut off,to act in a frenzied manner
liquor someone up,to get someone drunk
long in the tooth,old people
loose cannon,someone who is unpredictable and can cause damage if not kept in check
make no bones about,to state a fact so there are no doubts
make no bones about,to state a fact so there are no objections
method to my madness,strange actions that appear meaningless but in the end are done for a good reason
method to my madness,crazy actions that appear meaningless but in the end are done for a good reason
mumbo jumbo,meaningless speech
mums the word,to keep quiet to say nothing
nest egg,savings set aside for future use
never bite the hand that feeds you,dont hurt anyone that helps you
new kid on the block,someone new to the group
new kid on the block,someone new to the area
new york minute,a minute that seems to go by quickly especially in a fast paced environment
no dice,to not agree to not accept a proposition
no room to swing a cat,an unusually small space
no room to swing a cat,an unusually confined space
not playing with a full deck,someone who lacks intelligence
off on the wrong foot,getting a bad start on a relationship
off on the wrong foot,getting a bad start on a task
off the hook,no longer have to deal with a tough situation
off the record,something said in confidence that the one speaking doesnt want attributed to him
off the record,something said in confidence that the one speaking doesnt want attributed to her
on pins and needles,anxious especially in anticipation of something
on pins and needles,nervous especially in anticipation of something
on the same page,when multiple people all agree on the same thing
out of the blue,something that suddenly and unexpectedly occurs
out on a limb,when someone puts them self in a risky situation
out on the town,to enjoy yourself by going out
over my dead body,when you absolutely will not allow something to happen
over the top,very excessive
pass the buck,avoid responsibility by giving it to someone else
pedal to the metal,to go full speed especially while driving a vehicle
peeping tom,someone who observes people in the nude people mainly for his own gratification
peeping tom,someone who observes people in the sexually active people mainly for his own gratification
pick up your ears,to listen very carefully
pig in a poke,a deal that is made without first examining it
pig out,to eat alot and eat it quickly
pipe down,to shutup
pipe down,to be quiet
practice makes perfect,by constantly practicing you will become better
pull the plug,to stop something to bring something to an end
pulling your leg,tricking someone as a joke
put a sock in it,to tell noisy person to be quiet
put a sock in it,to tell noisy group to be quiet
queer the pitch,destroy a plan
queer the pitch,ruin a plan
raining cats and dogs,a very loud and noisy rain storm
ring fencing,seperated usual judgement to guarantee protection especially project funds
rise and shine,time to get out of bed and get ready for work
rise and shine,time to get out of bed and get ready for school
rome was not built in one day,if you want something to be completely properly then its going to take time
rule of thumb,a rough estimate
run out of steam,to be completely out of energy
saved by the bell,saved at the last possible moment
sick as a dog,to be very sick
sitting shotgun,riding in the front passenger seat of a car
sixth sense,a paranormal sense that allows you to communicate with the dead
skid row,the rundown area of a city where the homeless and drug users live
smell a rat,to detect somone in the group is betraying the others
smell something fishy,detecting that something isnt right and there might be a reason for it
son of a gun,a scamp
spitting image,the exact likeness
spitting image,the exact kind
start from scratch,to do it all over again from the beginning
the ball is in your court,it is your decision this time
the best of both worlds,there are two choices and you have them both
the bigger they are the harder they fall,while the bigger and stronger opponent might  be alot more difficult to beat when you do they suffer a much bigger loss
the last straw,when one small burden after another creates an unbearable situation the last straw is the last small burden that one can take
the whole nine yards,everything all of it
third times a charm,after no success the first two times the third try is a lucky one
tie the knot,to get married
til the cows come home,a long time
to make a long story short,something someone would say during a long and boring story in order to keep his audience from losing attention
to make a long story short,something someone would say during a long and boring story in order to keep her audience from losing attention
to steal someones thunder,to take the credit for something someone else did
turn a blind eye,refuse to acknowledge something you know is legit
turn a blind eye,refuse to acknowledge something you know is real
twenty three skidoo,to be turned away
under the weather,feeling ill
under the weather,feeling sick
up a blind alley,going down a course of action that leads to a bad outcome
use your loaf,use your head think smart
van goghs ear for music,tone deaf
variety is the spice of life,the more experiences you try the more exciting life can be
wag the dog,a diversion away from something of greater importance
water under the bridge,anything from the past that isnt significant anymore
water under the bridge,anything from the past that isnt important anymore
wear your heart on your sleeve,to openly and freely express your emotions
when it rains it pours,since it rarely rains when it does it will be a huge storm
when pigs fly,something that will never ever happen
wild and woolly,uncultured and without laws
wine and dine,when somebody is treated to an expensive meal
without a doubt,for certain
x marks the spot,a phrase that is said when someone finds something he has been looking for
x marks the spot,a phrase that is said when someone finds something she has been looking for
you are what you eat,in order to stay healthy you must eat healthy foods
you cant judge a book by its cover,decisions shouldnt be made primarily on appearance
you cant take it with you,enjoy what you have and not what you dont have since when you die you cannot take things with you
your guess is as good as mine,i have no idea
zero tolerance,no crime big or small will be overlooked
zero tolerance,no law breaking big or small will be overlooked
zero tolerance,no crime will be overlooked
zero tolerance,no law breaking will be overlooked
a hot potato,speak of an issue which many people are talking about and which is usually disputed
a penny for your thoughts,a way of asking what someone is thinking
actions speak louder than words,peoples intentions can be judged better by what they do than what they say
add insult to injury,to further a loss with mockery
add insult to injury,to further a loss with indignity
add insult to injury,to worsen an unfavorable situation
an arm and a leg,very expensive
an arm and a leg,very costly
an arm and a leg,a large amount of money
at the drop of a hat,meaning without any hesitation
ball is in your court,it is up to you to make the next decision
ball is in your court,it is up to you to make the next step
barking up the wrong tree,looking in the wrong place
barking up the wrong tree,accusing the wrong person
be glad to see the back of,be happy when a person leaves
beat around the bush,avoiding the main topic
beat around the bush,not speaking directly about the issue
best of both worlds,having all of the benefits
best thing since sliced bread,a good invention
best thing since sliced bread,a good innovation
best thing since sliced bread,a good plan
best thing since sliced bread,a good idea
blessing in disguise,something good that isnt recognized at first
burn the midnight oil,to work late into the night
burn the midnight oil,alluding to the time before electric lighting
cant judge a book by its cover,cannot judge something primarily on appearance
caught between two stools,when someone finds it difficult to choose between two alternatives
cross that bridge when you come to it,deal with a problem if and when it becomes necessary
curiosity killed the cat,being inquisitive can lead you into an unpleasant situation
cut corners,when something is done badly to save money
cut the mustard,to succeed
cut the mustard,to come up to expectations
cut the mustard,adequate enough to compete
cut the mustard,adequate enough to participate
devils advocate,to present a counter argument
dont count your chickens before the eggs have hatched,dont make plans for something that might not happen
dont give up the day job,you are not very good at something
dont give up the day job,you could definitely not do it professionally
drastic times call for drastic measures,when you are extremely desperate you need to take drastic actions
elvis has left the building,the show has come to an end
elvis has left the building,its all over
every cloud has a silver lining,be optimistic
every cloud has a silver lining,even difficult times will lead to better days
far cry from,very different from
feel a bit under the weather,meaning feeling slightly ill
give the benefit of the doubt,believe someones statement
give the benefit of the doubt,without proof
hear it on the grapevine,to hear rumors about something
hear it on the grapevine,to hear rumors about someone
hit the sack,to go to bed
hit the sheets,to go to bed
hit the hay,to go to bed
it takes two to tango,actions need more than one person
it takes two to tango,communications need more than one person
jump on the bandwagon,join a popular trend
jump on the bandwagon,join a popular activity
keep something at bay,keep something away
kill two birds with one stone,to accomplish two different things at the same time
last straw,the final problem in a series of problems
let sleeping dogs lie,do not disturb a situation as it is  since it would result in trouble
let sleeping dogs lie,do not disturb a situation as it is  since it would result in complications
let the cat out of the bag,to share information that was previously concealed
make a long story short,come to the point
make a long story short,leave out details
method to my madness,having a hidden purpose
miss the boat,when someone missed her chance
miss the boat,when someone missed his chance
not a spark of decency,no manners
off ones rocker,out of ones mind
off ones rocker,in a befuddled state of mind
off ones rocker,in a confused state of mind
on the ball,when someone understands the situation well
once in a blue moon,meaning happens very rarely
picture paints a thousand words,a visual presentation is far more descriptive than words
piece of cake,a job that is easy
piece of cake,a task that is easy
piece of cake,a job that is simple
piece of cake,a task that is simple
put wool over other peoples eyes,to deceive someone into thinking well of them
see eye to eye,when two people agree
sit on the fence,when someone does not want to choose
sit on the fence,when someone does not want to make a decision
speak of the devil,this expression is used when the person you have just been talking about arrives
steal someones thunder,to take the credit for something someone else did
take with a grain of salt,to not to take what someone says too seriously
taste of your own medicine,when something happens to you that you have done to someone else
to hear something straight from the horses mouth,to hear something from the authoritative source
whole nine yards,all of it
wouldnt be caught dead,would never like to do something
your guess is as good as mine,to have no idea
your guess is as good as mine,i do not know the answer to a question
a grey area,something unclear
a ripoff,too expensive
add fuel to the fire,to add more to an existing problem
as easy as abc,something is very easy
call it a day,time to quit
cool as a cucumber,to be very calm under stress
crack a book,open up a book and study
down to the wire,at the last minute
draw a blank,cant remember
fill in the blanks,provide more information
get a kick out of it,really enjoylike something
get your act together,behave properly
give it a shot,to try to do something
have mixed feelings,be unsure of how you feel
have second thoughts,have doubts
in hot water,be in trouble
in the same boat,be in the same situation
its in the bag,its a certainty
ive got your number,to say you cant be fooled by someone since you have them figured out
miss the boat,you missed your chance
mumbo jumbo,to call something total nonsense
out of the blue,with no warning
pass with flying colors,to succeed at something easily
piece of cake,something very easy
read between the lines,find the hidden meaning
second to none,the best
the icing on the cake,something additional that turns good into great
cross your fingers,for good luck
fell on deaf ears,people wouldnt listen to something
get cold feet,be nervous
giving the cold shoulder,ignore someone
have a change of heart,changed your mind
im all ears,you have my full attention
it cost an arm and a leg,it was expensive
slipped my mind,i forgot
speak your mind,say what you really feel
a bull in a china shop,someone who is very clumsy
a little birdie told me,someone told me a secret
bee in her bonnet,she is upset
busy as a bee,to be very active and working hard at something
cat got your tongue,why arent you talking
cry crocodile tears,to pretend to be upset
curiosity killed the cat,asking too many questions may get you in trouble
different kettle of fish,something completely different
doggy bag,a bag to take home leftovers from a restaurant
fish out of water,being somewhere you dont belong
for the birds,something that is not worth anything
get off your high horse,quit thinking you are better than others
goose is cooked,now youre in trouble
hold your horses,wait a minute
horse of a different color,something that is quite different
horse of a different color,separate issue
hot dog,a person doing athletic stunts that are dangerous
let the cat out of the bag,tell a secret
make a mountain out of a molehill,make something unimportant into a big deal
night owl,someone who stays up late
pig out,to eat a lot
put a bug in his ear,make a suggestion
raining cats and dogs,it is raining very hard
snails pace,to move extremely slow
stir a hornets nest,to cause a lot of trouble
teachers pet,the teachers favorite student
the world is your oyster,you can achieve whatevergo wherever you want
when pigs fly,to say something is impossible
wolf in sheeps clothing,a person who pretends to be nice but is not
you cant teach an old dog new tricks,its harder for older people to learn new things
a bitter pill,a information that is unpleasant but must be accepted
a bitter pill,a situation that is unpleasant but must be accepted
a hot potato,a controversial situation that is awkward to deal with
a hot potato,a controversial issue that is unpleasant to deal with
a hot potato,a controversial situation that is unpleasant to deal with
a hot potato,a controversial issue that is awkward to deal with
a dime a dozen,anything that is common to get
a dime a dozen,anything that is available anywhere
a dime a dozen,anything that is inexpensive to get
a dime a dozen,anything that is easy to get
ace in the hole,a hidden strength
ace in the hole,a secret strength
ace in the hole,an unrevealed advantage
achilles heel,a metaphor for a fatal weakness in spite of overall strength
all ears,listening intently
all ears,fully focused
all ears,awaiting an explanation
apple of discord,anything causing trouble
apple of discord,anything causing discord
apple of discord,anything causing jealousy
at the drop of a hat,without any hesitation
back to the drawing board,when an attempt fails and its time to start planning all over again
ball is in his court,it is up to him to make the next decision
ball is in her court,it is up to her to make the next decision
ball is in his court,it is up to him to make the next step
ball is in her court,it is up to her to make the next step
balls to the wall,full throttle
balls to the wall,at maximum speed
basket case,one made powerless as by nerves
basket case,one made powerless as by panic
basket case,one made powerless by stress
basket case,one made ineffective as by nerves
basket case,one made ineffective as by panic
basket case,one made ineffective as by stress
beating a dead horse,to uselessly dwell on a subject far beyond its point of resolution
beat around the bush,to treat a topic but omit its main points
bed of roses,easy and comfortable
bird brain,a person that is not too smart
bird brain,a person that acts stupid
bite off more than one can chew,to take on more responsibility than one can manage
bite the bullet,to endure a painful situation that is unavoidable
bite the bullet,to endure a unpleasant situation that is unavoidable
bite the dust,euphemism for death
bought the farm,euphemism for death
bite the dust,euphemism for dying
bought the farm,euphemism for dying
bust ones chops,to exert oneself
by the seat of ones pants,to achieve through instinct
by the seat of ones pants,to do something without advance preparation
call a spade a spade,to speak the truth
call it a day,to declare the end of a task
cat nap,a nap
champ at the bit,to show impatience when delayed
champ at the bit,to show frustration when delayed
cheap as chips,good value
chew the fat,to chat idly
chew the fat,to waste time talking
chink in ones armor,an area of vulnerability
clam up,to become silent
clam up,to stop talking
cold shoulder,to display aloofness and disdain
couch potato,a lazy person
crocodile tears,fake tears
crocodile tears,drama tears
cut off your nose to spite your face,pursuing revenge in a way that would damage oneself more than the object of ones anger
cut a rug,to dance
cut the cheese,to fart
cut the mustard,to perform well
cut the mustard,to meet expectations
dig ones heels in,on genuine objection to some process
dig ones heels in,on genuine objection to some action
dig ones heels in,on genuine objection to some motion
dont count chickens before they hatch,dont make plans for something that may not happen
dont count chickens before they hatch,dont make an assumption about something that does not have a definitively predetermined outcome
dont have a cow,dont overreact
drop a dime,make a telephone call
drop a dime,to be an informant
elephant in the room,an obvious issue left unaddressed due to its sensitive nature
elephant in the room,an pressing issue left unaddressed due to its sensitive nature
fit as a fiddle,in good physical health
for a song,almost free very cheap
fly in the ointment,the one tiny drawback that ruins it
from a to z,covering a complete range
to make from scratch,make from original ingredients
to make from scratch,start from the beginning with no prior preparation
from scratch,make from original ingredients
from scratch,start from the beginning with no prior preparation
heshe is a sandwich short of a picnic,the person is lacking intelligence
get bent out of shape,to take offense
get bent out of shape,to get worked up
get bent out of shape,to get aggravated
get bent out of shape,to get annoyed
get your goat,to irritate someone
grasp the nettle,to tackle a problem in a bold manner despite the difficulty of doing so
grasp the nettle,to tackle a problem in a bold manner despite the complexity of doing so
grasp the nettle,to solve a problem despite shortterm adverse consequences
grasp the nettle,to tackle a problem in a bold manner
have a blast,to have a good time
have a blast,to enjoy oneself
have eyes in the back of ones head,someone can perceive things and events that are outside of their field of vision
heard it through the grapevine,you learned something through means of a rumor
hit the ceiling,to become enraged
hit the nail on the head,to describe exactly what is causing a problem
hit the nail on the head,to describe exactly what is causing a situation
hit the nail on the head,to do exactly the right thing
hit the nail on the head,to do something in the most effective and efficient way
hit the nail on the head,to say exactly the right thing
hit the nail on the head,to find the exact answer
hit the nail on the head,to be accurate
hit the nail on the head,correct about something
hit the road,to leave
hit the sack,to go to sleep
hit the sheets,to go to sleep
hit the hay,to go to sleep
hit the spot,to be particularly pleasing
hit the spot,to be particularly appropriate
hit the spot,to be just right
hook line and sinker,to be completely fooled by a deception
ignorance is bliss,life is good when youre naive to the hardships happening all around
jump ship,leave a activity suddenly
jump ship,leave a job suddenly
jump ship,leave a organization suddenly
just my two cents,just the information i have on the subject
kick the bucket,euphemism for death
kick the bucket,euphemism for dying
kick the habit,stop engaging in a habitual practice
kill two birds with one stone,to accomplish two different tasks at the same time and with a single action
kill two birds with one stone,to accomplish two different tasks at the same time
kill two birds with one stone,to accomplish two different tasks with a single action
let the cat out of the bag,to reveal a secret
look a gift horse in the mouth,to find fault with something that has been received as a gift
look a gift horse in the mouth,to find fault with something that has been received as a favor
method to ones madness,despite someones random approach there is actually some structure to it
nip something in the bud,to stop something at an early stage
no horse in this race,no vested interest in the outcome of a particular contest
no horse in this race,no vested interest in the outcome of a particular debate
off ones trolley,out of ones mind
off ones trolley,in a confused state of mind
off ones trolley,in a befuddled state of mind
off the hook,to escape a situation of obligation
off the hook,to escape a situation of responsibility
off the hook,to escape a situation of danger
once in a blue moon,something that occurs very rarely
own goal,to do something accidentally negative against yourself
own goal,to do something accidentally negative against your own team
pop ones clogs,euphemism for death
pop ones clogs,euphemism for dying
the pot calling the kettle black,used when someone making an accusation is equally as guilty as those being accused
piece of cake,a job that is pleasant
piece of cake,a task that is pleasant
preaching to the choir,to present a side of a discussion to someone who already agrees with it
preaching to the choir,to present a side of a argument to someone who already agrees with it
preaching to the choir,wasting your time
pull somebodys leg,to tease
pull somebodys leg,to joke by telling a lie
pushing up daisies,euphemism for dying
pushing up daisies,euphemism for death
put the cat among the pigeons,to create a disturbance and cause trouble
raining cats and dogs,raining really strong
raining cats and dogs,raining really hard
right as rain,hoped for
right as rain,absolutely right
rock the boat,say something that will cause problems
rock the boat,do something that will cause problems
rock the boat,say something that will upset people
rock the boat,do something that will upset people
shoot the breeze,to chat idly
shoot the breeze,generally waste time talking
shooting fish in a barrel,frivolously performing a simple task
step up to the plate,to deliver beyond expectations
screw the pooch,to screw up
screw the pooch,to fail in dramatic and ignominious fashion
sleep with the fishes,euphemism for dying
sleep with the fishes,euphemism for death
spill the beans,reveal someones secret
spin ones wheels,expel much effort for no gain
spin ones wheels,expel much effort for little gain
straw that broke the camels back,last in a line of unacceptable occurrences
take the biscuit,to be particularly bad
take the biscuit,to be particularly objectionable
take the biscuit,to be particularly egregious
take the cake,to be especially good
take the cake,to be outstanding
take with a grain of salt,to not take what someone says too seriously
take with a grain of salt,to treat someones words with a degree of scepticism
throw under the bus,to betray someone for selfish reasons
throw under the bus,to sacrifice someone for selfish reasons
through thick and thin,in both good and bad times
thumb ones nose,to express scorn
thumb ones nose,to disregard
tie one on,to get drunk
to steal someones thunder,to take credit for something someone else did
trip the light fantastic,to dance
under my thumb,under my control
under the weather,feel sick
under the weather,feel poor
under the weather,feel ill
wild goose chase,a frustrating undertaking that accomplishes little
wild goose chase,a lengthy undertaking that accomplishes little
he holds the cards,he controls the situation
she holds the cards,she controls the situation
they hold the cards,they control the situation
you can say that again,that is very true
you can say that again,expression of wholehearted agreement
